Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
0.231280500,1,1,0,1,0,0,1,0
0.231280583,1,1,0,1,0,1,1,0
0.231280750,1,1,0,1,0,0,0,0
0.231288833,1,1,0,1,1,0,0,0
0.231386167,1,1,0,1,0,0,0,0
0.231403417,1,1,0,1,0,1,0,0
0.231403500,1,1,0,1,0,0,0,0
0.231403667,1,1,0,1,0,1,0,0
0.231403750,1,1,0,1,0,0,0,0
0.231403917,1,1,0,1,0,1,0,0
0.231404000,1,1,0,1,0,0,0,1
0.231404167,1,1,0,1,0,1,0,1
0.231404333,1,1,0,1,0,0,1,0
0.231404417,1,1,0,1,0,1,1,0
0.231404583,1,1,0,1,0,0,1,1
0.231404667,1,1,0,1,0,1,1,1
0.231404833,1,1,0,1,0,0,1,1
0.231404917,1,1,0,1,0,1,1,1
0.231405083,1,1,0,1,0,0,0,1
0.231405167,1,1,0,1,0,1,0,1
0.231405333,1,1,0,1,0,0,0,0
0.231415417,1,1,0,1,0,1,0,0
0.231415583,1,1,0,1,0,0,0,0
0.231415750,1,1,0,1,0,1,0,0
